iter	Passed	Remaining
170	10789	399328
171	10838	398751
172	10879	397873
173	10958	398420
174	10987	397127
175	11041	396731
176	11133	397713
177	11200	397797
178	11265	397800
179	11324	397630
180	11418	398640
181	11495	399061
182	11589	400044
183	11653	400005
184	11728	400359
185	11773	399671
186	11858	400322
187	11909	399842
188	11996	400584
189	12049	400169
190	12122	400407
191	12134	398677
192	12185	398198
193	12229	397506
194	12242	395832
195	12301	395664
196	12380	396100
197	12462	396650
198	12546	397265
199	12565	395818
200	12604	395008
201	12616	393373
202	12620	391485
203	12647	390321
204	12712	390370
205	12724	388788
206	12747	387532
207	12768	386240
208	12797	385203
209	12805	383550
210	12830	382434
211	12908	382878
212	12970	382854
213	13061	383661
214	13084	382506
215	13159	382843
216	13250	383640
217	13321	383892
218	13402	384387
219	13439	383641
220	13446	382027
221	13508	382014
222	13571	382000
223	13591	380796
224	13612	379643
225	13616	378006
226	13658	377457
227	13698	376826
228	13719	375701
229	13738	374509
230	13807	374720
231	13864	374581
232	13946	375119
233	14019	375407
234	14044	374413
235	14068	373413
236	14089	372327
237	14109	371229
238	14130	370166
239	14148	369046
240	14177	368193
241	14215	367612
242	14237	366594
243	14300	366661
244	14361	366660
245	14445	367253
246	14512	367401
247	14576	367465
248	14629	367272
249	14655	366388
250	14721	366504
251	14772	366256
252	14838	366398
253	14872	365710
254	14921	365440
255	14963	364972
256	14966	363572
257	14999	362893
258	15021	361970
259	15057	361383
260	15126	361591
261	15213	362217
262	15269	362121
263	15304	361504
264	15325	360592
265	15351	359789
266	15372	358865
267	15400	358129
268	15423	357266
269	15497	357583
270	15561	357682
271	15624	357749
272	15637	356676
273	15722	357246
274	15764	356851
275	15803	356384
276	15832	355693
277	15855	354864
278	15902	354592
279	15966	354684
280	16032	354827
281	16108	355194
282	16185	355555
283	16240	355450
284	16286	355160
285	16353	355325
286	16430	355684
287	16483	355537
288	16508	354796
289	16535	354097
290	16557	353288
291	16580	352510
292	16597	351611
293	16616	350760
294	16660	350433
295	16684	349701
296	16710	349009
297	16729	348173
298	16803	348490
299	16860	348456
300	16890	347850
301	16912	347098
302	16940	346467
303	16975	345990
304	16998	345257
305	17013	344391
306	17079	344540
307	17145	344699
308	17208	344784
309	17270	344847
310	17289	344063
311	17316	343448
312	17364	343241
313	17415	343094
314	17497	343565
315	17552	343495
316	17627	343819
317	17665	343429
318	17739	343723
319	17778	343350
320	17802	342679
321	17828	342071
322	17877	341891
323	17925	341694
324	17947	340999
325	17980	340524
326	18051	340761
327	18126	341082
328	18194	341278
329	18261	341438
330	18325	341547
331	18394	341739
332	18481	342274
333	18549	342452
334	18603	342367
335	18668	342478
336	18760	343092
337	18816	343033
338	18891	343331
339	18945	343255
340	19035	343803
341	19105	344005
342	19142	343612
343	19158	342854
344	19252	343480
345	19317	343587
346	19354	343199
347	19405	343054
348	19480	343332
349	19563	343751
350	19632	343934
351	19707	344210
352	19775	344357
353	19826	344218
354	19889	344292
355	19944	344215
356	20017	344449
357	20076	344434
358	20174	345105
359	20263	345609
360	20324	345637
361	20376	345500
362	20445	345665
363	20532	346118
364	20634	346829
365	20705	347011
366	20776	347197
367	20842	347292
368	20929	347740
369	21007	348047
370	21037	347548
371	21069	347088
372	21171	347770
373	21230	347740
374	21270	347413
375	21290	346768
376	21318	346247
377	21344	345686
378	21371	345159
379	21395	344584
380	21420	344013
381	21443	343438
382	21524	343780
383	21581	343722
384	21658	344009
385	21734	344257
386	21830	344828
387	21903	345028
388	21969	345126
389	22055	345532
390	22159	346216
391	22228	346357
392	22344	347214
393	22425	347532
394	22481	347472
395	22558	347714
396	22641	348069
397	22715	348263
398	22791	348505
399	22842	348346
400	22883	348047
401	22937	347938
402	23016	348217
403	23066	348049
404	23123	347995
405	23215	348458
406	23289	348649
407	23414	349608
408	23480	349687
409	23540	349660
410	23589	349477
411	23635	349258
412	23657	348681
413	23678	348090
414	23757	348351
415	23804	348137
416	23876	348295
417	23935	348270
418	24019	348602
419	24067	348402
420	24095	347918
421	24133	347584
422	24182	347415
423	24254	347566
424	24292	347238
425	24334	346971
426	24401	347052
427	24453	346921
428	24498	346694
429	24546	346501
430	24578	346091
431	24600	345542
432	24646	345330
433	24711	345388
434	24799	345766
435	24872	345936
436	24952	346196
437	25018	346264
438	25094	346470
439	25159	346513
440	25246	346873
441	25324	347100
442	25407	347384
443	25477	347499
444	25649	349011
445	25734	349314
446	25795	349301
447	25826	348891
448	25919	349313
449	25984	349341
450	26033	349175
451	26067	348791
452	26152	349108
453	26224	349231
454	26335	349879
455	26429	350311
456	26538	350922
457	26617	351145
458	26701	351428
459	26771	351525
460	26823	351386
461	26858	351023
462	26929	351136
463	26980	350974
464	27028	350792
465	27052	350286
466	27121	350377
467	27171	350215
468	27260	350555
469	27329	350633
470	27356	350169
471	27379	349672
472	27427	349481
473	27497	349583
474	27569	349694
475	27668	350160
476	27761	350542
477	27833	350655
478	27925	351018
479	27984	350969
480	28036	350840
481	28092	350745
482	28171	350945
483	28237	350979
484	28282	350757
485	28317	350416
486	28387	350502
487	28437	350339
488	28529	350700
489	28594	350725
490	28680	351002
491	28747	351040
492	28778	350656
493	28803	350195
494	28877	350317
495	28920	350074
496	29088	351344
497	29166	351525
498	29255	351829
499	29338	352061
500	29440	352524
501	29511	352607
502	29578	352651
503	29662	352891
504	29756	353248
505	29825	353303
506	29933	353827
507	29999	353853
508	30047	353665
509	30093	353450
510	30150	353371
511	30235	353614
512	30337	354050
513	30410	354163
514	30516	354638
515	30583	354673
516	30624	354402
517	30679	354292
518	30759	354471
519	30832	354575
520	30880	354381
521	30924	354149
522	30969	353925
523	31023	353812
524	31075	353666
525	31128	353535
526	31188	353490
527	31251	353468
528	31324	353572
529	31396	353656
530	31478	353846
531	31529	353696
532	31608	353865
533	31657	353686
534	31687	353302
535	31708	352816
536	31736	352416
537	31759	351954
538	31795	351635
539	31814	351143
540	31899	351366
541	31978	351522
542	32107	352236
543	32175	352278
544	32248	352371
545	32308	352316
546	32360	352176
547	32431	352253
548	32469	351963
549	32512	351725
550	32558	351526
551	32638	351686
552	32707	351741
553	32717	351154
554	32757	350893
555	32800	350661
556	32842	350419
557	32870	350030
558	32890	349559
559	32916	349153
560	32941	348734
561	32989	348563
562	33072	348755
563	33161	349022
564	33248	349257
565	33315	349288
566	33370	349182
567	33460	349450
568	33534	349545
569	33555	349090
570	33576	348645
571	33599	348214
572	33619	347756
573	33646	347372
574	33689	347144
575	33706	346659
576	33759	346545
577	33841	346731
578	33907	346746
579	33960	346630
580	34046	346847
581	34108	346827
582	34151	346612
583	34174	346196
584	34253	346340
585	34307	346232
586	34378	346300
587	34468	346559
588	34560	346840
589	34649	347083
590	34732	347267
591	34823	347524
592	34925	347899
593	34995	347947
594	35076	348111
595	35130	347999
596	35214	348194
597	35270	348106
598	35347	348222
599	35403	348133
600	35489	348344
601	35566	348462
602	35593	348087
603	35615	347668
604	35644	347316
605	35676	346996
606	35753	347110
607	35801	346947
608	35890	347178
609	35958	347207
610	36009	347070
611	36079	347118
612	36177	347434
613	36312	348103
614	36414	348457
615	36506	348704
616	36527	348280
617	36599	348343
618	36659	348298
619	36746	348502
620	36826	348638
621	36884	348560
622	36952	348582
623	37018	348587
624	37088	348635
625	37169	348776
626	37213	348570
627	37293	348703
628	37338	348512
629	37422	348678
630	37488	348683
631	37562	348756
632	37638	348854
633	37669	348534
634	37711	348314
635	37786	348393
636	37849	348373
637	37883	348073
638	37923	347841
639	37944	347428
640	37962	346990
641	38040	347102
642	38079	346861
643	38163	347023
644	38230	347037
645	38251	346633
646	38269	346198
647	38308	345959
648	38336	345615
649	38426	345835
650	38479	345726
651	38559	345856
652	38606	345680
653	38676	345727
654	38729	345612
655	38812	345758
656	38867	345667
657	38949	345806
658	39018	345838
659	39070	345711
660	39149	345831
661	39214	345824
662	39294	345946
663	39368	346016
664	39415	345847
665	39502	346036
666	39577	346107
667	39631	346007
668	39688	345923
669	39712	345559
670	39758	345383
671	39852	345623
672	39907	345527
673	39981	345597
674	40033	345475
675	40121	345659
676	40195	345730
677	40252	345652
678	40336	345801
679	40370	345524
680	40418	345365
681	40613	346462
682	40707	346701
683	40770	346666
684	40818	346510
685	40876	346437
686	40958	346565
687	41045	346741
688	41120	346807
689	41229	347166
690	41314	347318
691	41402	347492
692	41472	347519
693	41569	347766
694	41651	347897
695	41735	348036
696	41816	348151
697	41904	348320
698	41974	348350
699	42057	348472
700	42134	348554
701	42219	348699
702	42301	348826
703	42371	348842
704	42427	348746
705	42468	348533
706	42521	348410
707	42546	348063
708	42571	347713
709	42690	348141
710	42753	348103
711	42840	348259
712	42887	348094
713	42917	347791
714	42949	347496
715	42979	347200
716	42996	346793
717	43039	346592
718	43070	346299
719	43167	346540
720	43237	346563
721	43312	346621
722	43388	346685
723	43482	346902
724	43564	347013
725	43610	346840
726	43634	346497
727	43702	346501
728	43774	346532
729	43861	346689
730	43935	346735
731	43988	346615
732	44037	346470
733	44051	346049
734	44091	345833
735	44131	345616
736	44211	345713
737	44293	345827
738	44383	345999
739	44461	346075
740	44547	346223
741	44598	346091
742	44657	346023
743	44736	346109
744	44838	346371
745	44902	346341
746	44991	346503
747	45069	346574
748	45141	346605
749	45197	346514
750	45272	346565
751	45342	346581
752	45402	346516
753	45476	346564
754	45557	346657
755	45606	346511
756	45676	346528
757	45727	346398
758	45810	346508
759	45884	346547
760	45937	346433
761	45959	346086
762	45981	345736
763	46021	345522
764	46086	345495
765	46154	345497
766	46192	345266
767	46218	344951
768	46297	345035
769	46365	345032
770	46457	345208
771	46527	345218
772	46572	345049
773	46629	344960
774	46700	344984
775	46770	344993
776	46839	344999
777	46905	344975
778	46994	345130
779	47065	345149
780	47135	345155
781	47196	345105
782	47254	345026
783	47312	344946
784	47378	344928
785	47430	344803
786	47511	344895
787	47556	344724
788	47582	344416
789	47607	344100
790	47639	343836
791	47660	343494
792	47738	343562
793	47800	343515
794	47843	343328
795	47885	343137
796	47956	343157
797	48048	343324
798	48117	343328
799	48185	343320
800	48272	343449
801	48346	343485
802	48426	343566
803	48478	343452
804	48506	343157
805	48536	342884
806	48566	342616
807	48598	342357
808	48694	342546
809	48771	342607
810	48863	342766
811	48940	342825
812	49016	342875
813	49206	343718
814	49285	343785
815	49358	343813
816	49430	343835
817	49490	343773
818	49589	343980
819	49658	343975
820	49744	344092
821	49818	344126
822	49868	343989
823	49948	344059
824	49989	343864
825	50046	343783
826	50083	343559
827	50124	343367
828	50192	343358
829	50259	343341
830	50348	343473
831	50417	343472
832	50467	343338
833	50507	343138
834	50581	343166
835	50645	343126
836	50750	343367
837	50842	343517
838	50917	343557
839	51013	343732
840	51113	343940
841	51186	343959
842	51269	344046
843	51329	343980
844	51427	344169
845	51499	344185
846	51601	344393
847	51688	344509
848	51769	344578
849	51838	344574
850	51945	344821
851	52034	344940
852	52129	345103
853	52199	345104
854	52300	345307
855	52375	345333
856	52423	345189
857	52507	345274
858	52589	345353
859	52666	345392
860	52783	345699
861	52857	345722
862	52889	345466
863	52939	345335
864	52991	345207
865	53025	344968
866	53080	344867
867	53129	344726
868	53192	344679
869	53260	344660
870	53353	344806
871	53501	345304
872	53617	345598
873	53700	345671
874	53781	345737
875	53850	345722
876	53901	345597
877	53966	345559
878	54011	345389
879	54060	345252
880	54126	345218
881	54204	345262
882	54266	345206
883	54342	345236
884	54420	345279
885	54503	345353
886	54552	345214
887	54629	345248
888	54720	345370
889	54777	345280
890	54858	345346
891	54922	345296
892	54975	345179
893	55003	344908
894	55070	344885
895	55120	344749
896	55210	344865
897	55307	345022
898	55361	344914
899	55410	344776
900	55440	344521
901	55468	344246
902	55545	344284
903	55683	344693
904	55804	345003
905	55906	345187
906	55969	345135
907	56057	345232
908	56122	345191
909	56191	345178
910	56293	345358
911	56356	345308
912	56440	345379
913	56497	345291
914	56565	345266
915	56633	345241
916	56717	345314
917	56785	345288
918	56860	345308
919	56925	345264
920	56988	345209
921	57070	345269
922	57149	345310
923	57180	345061
924	57243	345006
925	57291	344864
926	57342	344736
927	57398	344636
928	57472	344649
929	57536	344602
930	57612	344624
931	57711	344782
932	57791	344826
933	57839	344682
934	57887	344541
935	57913	344262
936	57937	343976
937	58002	343931
938	58063	343865
939	58152	343963
940	58222	343952
941	58294	343950
942	58356	343889
943	58437	343940
944	58510	343941
945	58557	343794
946	58607	343663
947	58678	343655
948	58733	343547
949	58772	343357
950	58798	343082
951	58871	343086
952	58942	343081
953	59020	343109
954	59111	343216
955	59204	343336
956	59287	343394
957	59363	343415
958	59417	343309
959	59506	343402
960	59557	343277
961	59599	343101
962	59647	342959
963	59708	342891
964	59822	343124
965	59912	343226
966	59989	343249
967	60079	343347
968	60147	343318
969	60222	343328
970	60298	343346
971	60348	343218
972	60406	343130
973	60474	343104
974	60541	343068
975	60578	342865
976	60636	342780
977	60704	342752
978	60761	342659
979	60787	342396
980	60812	342122
981	60890	342153
982	60939	342017
983	61026	342097
984	61078	341979
985	61146	341946
986	61201	341848
987	61238	341647
988	61257	341343
989	61278	341057
990	61303	340789
991	61377	340791
992	61413	340588
993	61477	340540
994	61497	340245
995	61519	339961
996	61598	339998
997	61643	339840
998	61715	339835
999	61757	339667
1000	61847	339759
1001	61982	340099
1002	62021	339914
1003	62064	339748
1004	62135	339737
1005	62197	339673
1006	62262	339632
1007	62344	339676
1008	62429	339743
1009	62510	339783
1010	62596	339856
1011	62671	339864
1012	62732	339798
1013	62815	339845
1014	62844	339609
1015	62886	339439
1016	62946	339366
1017	63037	339461
1018	63129	339558
1019	63208	339592
1020	63278	339569
1021	63333	339472
1022	63408	339482
1023	63462	339374
1024	63538	339385
1025	63607	339363
1026	63647	339183
1027	63688	339009
1028	63726	338820
1029	63756	338588
1030	63831	338600
1031	63882	338477
1032	63974	338577
1033	64057	338625
1034	64089	338403
1035	64119	338176
1036	64153	337964
1037	64192	337785
1038	64273	337822
1039	64340	337785
1040	64408	337760
1041	64482	337760
1042	64552	337740
1043	64618	337698
1044	64673	337604
1045	64713	337425
1046	64762	337294
1047	64794	337079
1048	64816	336812
1049	64884	336779
1050	64954	336763
1051	65023	336738
1052	65075	336624
1053	65175	336761
1054	65228	336655
1055	65255	336414
1056	65278	336149
1057	65344	336111
1058	65395	335992
1059	65501	336160
1060	65573	336148
1061	65665	336242
1062	65738	336239
1063	65814	336248
1064	65875	336180
1065	65960	336237
1066	66037	336253
1067	66129	336343
1068	66259	336629
1069	66294	336426
1070	66353	336351
1071	66453	336485
1072	66539	336541
1073	66617	336560
1074	66650	336351
1075	66685	336154
1076	66722	335965
1077	66747	335720
1078	66801	335617
1079	66840	335441
1080	66921	335474
1081	66987	335431
1082	67086	335557
1083	67147	335492
1084	67236	335562
1085	67313	335574
1086	67420	335736
1087	67488	335708
1088	67524	335513
1089	67574	335392
1090	67665	335473
1091	67774	335644
1092	67840	335600
1093	67933	335695
1094	67979	335551
1095	68019	335381
1096	68099	335406
1097	68164	335359
1098	68259	335456
1099	68331	335447
1100	68368	335260
1101	68395	335027
1102	68472	335035
1103	68535	334981
1104	68561	334741
1105	68589	334512
1106	68613	334266
1107	68634	334006
1108	68727	334092
1109	68784	334008
1110	68815	333794
1111	68838	333546
1112	68910	333533
1113	68977	333492
1114	69078	333618
1115	69165	333680
1116	69220	333586
1117	69300	333607
1118	69371	333588
1119	69456	333639
1120	69532	333646
1121	69591	333566
1122	69662	333548
1123	69725	333490
1124	69808	333529
1125	69860	333421
1126	69920	333350
1127	69963	333196
1128	70018	333098
1129	70116	333209
1130	70195	333228
1131	70265	333202
1132	70341	333204
1133	70399	333125
1134	70445	332985
1135	70465	332728
1136	70566	332849
1137	70643	332854
1138	70687	332710
1139	70768	332737
1140	70828	332666
1141	70919	332735
1142	70976	332651
1143	71050	332646
1144	71126	332646
1145	71217	332721
1146	71281	332669
1147	71360	332681
1148	71416	332591
1149	71509	332673
1150	71584	332672
1151	71636	332560
1152	71665	332344
1153	71709	332199
1154	71740	331993
1155	71815	331990
1156	71876	331925
1157	71967	331994
1158	72028	331928
1159	72104	331928
1160	72162	331845
1161	72189	331625
1162	72249	331553
1163	72332	331587
1164	72402	331558
1165	72488	331605
1166	72576	331661
1167	72746	332094
1168	72849	332214
1169	72912	332158
1170	73009	332253
1171	73072	332193
1172	73140	332154
1173	73172	331958
1174	73195	331717
1175	73229	331526
1176	73235	331210
1177	73296	331139
1178	73361	331091
1179	73446	331133
1180	73540	331214
1181	73634	331294
1182	73664	331086
1183	73700	330905
1184	73732	330708
1185	73765	330514
1186	73812	330384
1187	73847	330201
1188	73953	330335
1189	74010	330249
1190	74095	330286
1191	74153	330204
1192	74258	330333
1193	74329	330311
1194	74412	330342
1195	74476	330285
1196	74550	330278
1197	74629	330288
1198	74710	330308
1199	74775	330258
1200	74864	330315
1201	75049	330794
1202	75131	330816
1203	75193	330752
1204	75267	330739
1205	75333	330692
1206	75384	330579
1207	75477	330649
1208	75571	330727
1209	75641	330698
1210	75717	330691
1211	75800	330721
1212	75880	330732
1213	75970	330788
1214	76035	330740
1215	76113	330743
1216	76179	330694
1217	76223	330553
1218	76258	330371
1219	76380	330566
1220	76473	330633
1221	76524	330520
1222	76563	330357
1223	76655	330419
1224	76702	330289
1225	76803	330394
1226	76856	330289
1227	76925	330252
1228	77017	330315
1229	77089	330292
1230	77184	330371
1231	77303	330548
1232	77414	330692
1233	77484	330657
1234	77559	330649
1235	77642	330669
1236	77741	330762
1237	77780	330599
1238	77837	330512
1239	77865	330298
1240	77894	330095
1241	77980	330131
1242	78070	330183
1243	78151	330197
1244	78226	330184
1245	78325	330274
1246	78399	330260
1247	78450	330145
1248	78501	330034
1249	78531	329834
1250	78557	329615
1251	78599	329463
1252	78632	329279
1253	78710	329278
1254	78812	329381
1255	78906	329448
1256	79004	329532
1257	79082	329532
1258	79141	329451
1259	79243	329551
1260	79466	330153
1261	79533	330107
1262	79622	330152
1263	79711	330195
1264	79778	330151
1265	79830	330042
1266	79882	329931
1267	79905	329705
1268	79935	329505
1269	80005	329473
1270	80059	329369
1271	80147	329411
1272	80197	329296
1273	80222	329075
1274	80248	328861
1275	80316	328819
1276	80369	328715
1277	80451	328729
